Date,Open,Low,High,Close,Volume
"Jan 7, 2011",0.2,0.2,0.5,0.5,740
"Jan 8, 2011",0.7,0.6,1.1,1,1418
"Jan 9, 2011",1,1,1.1,1.1,122
"Jan 10, 2011",1.1,1.1,1.9,1.9,242
"Jan 11, 2011",1.9,1.9,2.3,2.3,41
"Jan 12, 2011",1.9,1.9,1.9,1.9,1
"Jan 13, 2011",1.8,1.8,3.5,3.5,564
"Jan 14, 2011",3.5,3.5,3.5,3.5,0
"Jan 15, 2011",2.5,2.2,3,2.6,828
"Jan 16, 2011",2.6,2.5,2.6,2.5,22
"Jan 17, 2011",2.6,2.6,2.6,2.6,2
"Jan 18, 2011",3.2,2.5,3.2,2.5,23
"Jan 19, 2011",2.5,2.3,2.5,2.3,61
"Jan 20, 2011",2.3,2.2,2.3,2.3,26
"Jan 21, 2011",2.4,1.7,2.4,1.8,134
"Jan 22, 2011",2,1.7,2,1.9,130
"Jan 23, 2011",1.9,1.9,2.2,2,68
"Jan 24, 2011",1.9,1.9,3.4,3.4,583
"Jan 25, 2011",3,1.6,3,1.6,315
"Jan 26, 2011",2,2,3.2,3,103
"Jan 27, 2011",3,2.9,3.6,3.6,534
"Jan 28, 2011",3.7,3.7,4,4,171
"Jan 29, 2011",4,4,4,4,0
"Jan 30, 2011",3.8,3.8,4,4,145
"Jan 31, 2011",4,3.5,4,3.5,233
"Feb 1, 2011",3.2,3.2,3.9,3.5,110
"Feb 2, 2011",3.5,3.5,3.5,3.5,60
"Feb 3, 2011",3.5,3,4,4,275
"Feb 4, 2011",3,3,3.1,3.1,11
"Feb 5, 2011",3.5,3,3.5,3,27
"Feb 6, 2011",3,3,3,3,0
"Feb 7, 2011",3,3,3,3,0
"Feb 8, 2011",2.9,2.9,3,3,36
"Feb 9, 2011",2.9,2.9,3,3,99
"Feb 10, 2011",2.6,2.5,2.6,2.5,45
"Feb 11, 2011",2.5,2.5,3.5,3.4,167
"Feb 12, 2011",3.5,3.4,3.5,3.5,101
"Feb 13, 2011",3.5,3,3.5,3,115
"Feb 14, 2011",3,2.9,3,2.9,100
"Feb 15, 2011",1.6,1.6,2.9,2.7,455
"Feb 16, 2011",2.7,2.5,3,2.9,252
"Feb 17, 2011",2.9,2.2,2.9,2.2,137
"Feb 18, 2011",2.2,2.2,3.4,3,174
"Feb 19, 2011",3,2.6,3,2.6,130
"Feb 20, 2011",2.7,2.6,3,2.7,146
"Feb 21, 2011",2.9,2.9,3,3,143
"Feb 22, 2011",3,2.8,3.1,3.1,92
"Feb 23, 2011",3.2,3,3.2,3,151
"Feb 24, 2011",3.1,3,3.1,3,54
"Feb 25, 2011",3.2,3.2,3.3,3.3,30
"Feb 26, 2011",3.4,3.4,4,4,128
"Feb 27, 2011",4,3.8,4,3.9,235
"Feb 28, 2011",4,4,4.1,4.1,58
"Mar 1, 2011",3.9,3.8,4,3.9,333
"Mar 2, 2011",3.9,3.9,4,4,110
"Mar 3, 2011",4,4,4.2,4.2,80
"Mar 4, 2011",4.1,4.1,4.1,4.1,23
"Mar 5, 2011",4.1,4.1,4.2,4.2,22
"Mar 6, 2011",4.2,3.9,4.2,3.9,34
"Mar 7, 2011",3.9,3.9,4.1,4.1,108
"Mar 8, 2011",3.9,3.9,4.1,4,476
"Mar 9, 2011",3.8,3.8,3.8,3.8,4
"Mar 10, 2011",3.8,3.8,3.8,3.8,0
"Mar 11, 2011",4.1,4.1,4.2,4.2,30
"Mar 12, 2011",4.2,4.2,4.2,4.2,46
"Mar 13, 2011",4.3,4.3,4.5,4.3,274
"Mar 14, 2011",4.2,4.2,4.5,4.5,26
"Mar 15, 2011",4.2,4.2,4.5,4.3,49
"Mar 16, 2011",4,4,4,4,100
"Mar 17, 2011",4,4,4,4,75
"Mar 18, 2011",4,4,4,4,30
"Mar 19, 2011",4.2,4.2,4.3,4.3,25
"Mar 20, 2011",4.4,4.4,4.5,4.5,24
"Mar 21, 2011",4.6,4.5,4.6,4.5,165
"Mar 22, 2011",4.5,4.5,4.5,4.5,20
"Mar 23, 2011",4.5,4.5,4.5,4.5,35
"Mar 24, 2011",4.5,4.5,4.5,4.5,17
"Mar 25, 2011",4.5,4,4.9,4,344
"Mar 26, 2011",4.1,4.1,4.8,4.8,267
"Mar 27, 2011",4.7,4.7,4.7,4.7,7
"Mar 28, 2011",4.6,4.5,4.6,4.5,30
"Mar 29, 2011",4.7,4.7,5.5,5.3,334
"Mar 30, 2011",5,4.8,5.3,5.3,79
"Mar 31, 2011",5,5,5,5,10
"Apr 1, 2011",5,5,5.5,5.5,45
"Apr 2, 2011",5.2,5.2,6.5,6.5,347
"Apr 3, 2011",6.6,6.6,7.4,6.8,325
"Apr 4, 2011",6.8,6.8,7,7,59
"Apr 5, 2011",7,6.6,7,6.9,32
"Apr 6, 2011",7,6.9,7,7,61
"Apr 7, 2011",7,6.9,7.4,6.9,260
"Apr 8, 2011",6.7,6.6,7.2,7.2,85
"Apr 9, 2011",7.2,7.2,7.8,7.8,489
"Apr 10, 2011",7.6,7.5,7.8,7.6,49
"Apr 11, 2011",7.6,7.6,7.6,7.6,23
"Apr 12, 2011",7.5,7.2,7.5,7.3,128
"Apr 13, 2011",7.3,7,7.3,7,114
"Apr 14, 2011",7,6.9,7,7,120
"Apr 15, 2011",7,6.9,7,6.9,10
"Apr 16, 2011",7,6.9,7,7,94
"Apr 17, 2011",7,6.9,7.5,6.9,109
"Apr 18, 2011",7.2,7.2,7.4,7.3,34
"Apr 19, 2011",7.4,7,7.4,7,112
"Apr 20, 2011",6.9,6.5,6.9,6.5,68
"Apr 21, 2011",6.5,6.5,6.9,6.9,9
"Apr 22, 2011",6.9,6.8,7,6.8,65
"Apr 23, 2011",6.8,6.7,6.8,6.7,14
"Apr 24, 2011",6.7,6.4,6.7,6.5,76
