Date,Open,Low,High,Close,Volume
"Jan 5, 2011",0.1,0.1,0.5,0.3,183
"Jan 6, 2011",0.2,0.2,0.2,0.2,35
"Jan 7, 2011",0.2,0.2,0.2,0.2,0
"Jan 8, 2011",0.2,0.2,0.2,0.2,30
"Jan 9, 2011",0.2,0.1,0.2,0.2,77
"Jan 10, 2011",0.2,0.2,0.2,0.2,20
"Jan 11, 2011",0.2,0.2,0.2,0.2,30
"Jan 12, 2011",0.2,0.2,0.2,0.2,0
"Jan 13, 2011",0.1,0.1,0.2,0.2,190
"Jan 14, 2011",0.2,0.2,0.3,0.3,143
"Jan 15, 2011",0.2,0.2,0.3,0.3,760
"Jan 16, 2011",0.3,0.3,0.3,0.3,0
"Jan 17, 2011",0.3,0.3,0.3,0.3,10
"Jan 18, 2011",0.4,0.4,0.4,0.4,505
"Jan 19, 2011",0.4,0.4,0.4,0.4,25
"Jan 20, 2011",0.4,0.4,0.4,0.4,5
"Jan 21, 2011",0.3,0.3,0.3,0.3,24
"Jan 22, 2011",0.4,0.4,0.4,0.4,100
"Jan 23, 2011",0.4,0.4,0.4,0.4,0
"Jan 24, 2011",0.3,0.3,0.5,0.5,216
"Jan 25, 2011",0.3,0.3,0.3,0.3,15
"Jan 26, 2011",0.3,0.3,0.3,0.3,42
"Jan 27, 2011",0.2,0.2,0.4,0.4,101
"Jan 28, 2011",0.4,0.4,0.4,0.4,0
"Jan 29, 2011",0.4,0.4,0.4,0.4,0
"Jan 30, 2011",0.4,0.4,0.4,0.4,0
"Jan 31, 2011",0.3,0.3,0.3,0.3,10
"Feb 1, 2011",0.3,0.3,0.3,0.3,12
"Feb 2, 2011",0.3,0.3,0.3,0.3,0
"Feb 3, 2011",0.2,0.2,0.2,0.2,60
"Feb 4, 2011",0.3,0.2,0.3,0.2,51
"Feb 5, 2011",0.2,0.2,0.3,0.3,55
"Feb 6, 2011",0.3,0.3,0.3,0.3,0
"Feb 7, 2011",0.3,0.3,0.3,0.3,120
"Feb 8, 2011",0.3,0.3,0.3,0.3,6
"Feb 9, 2011",0.3,0.3,0.3,0.3,0
"Feb 10, 2011",0.2,0.2,0.2,0.2,1
"Feb 11, 2011",0.2,0.2,0.2,0.2,0
"Feb 12, 2011",0.4,0.3,0.4,0.3,383
"Feb 13, 2011",0.3,0.3,0.4,0.4,125
"Feb 14, 2011",0.3,0.3,0.7,0.3,1262
"Feb 15, 2011",0.3,0.3,0.3,0.3,10
"Feb 16, 2011",0.3,0.3,0.3,0.3,23
"Feb 17, 2011",0.3,0.2,0.3,0.2,2
