Date,Open,Low,High,Close,Volume
"Nov 9, 2008",20.2,20.2,20.2,24.5,1
"Nov 10, 2008",24.5,24.5,24.5,24.5,1
"Nov 11, 2008",24.5,24.5,24.5,24.5,0
"Nov 12, 2008",23.8,23.8,23.8,23.8,0
"Nov 13, 2008",20,20,20,23.8,1
"Nov 14, 2008",19.8,19.8,19.8,19.8,2
"Nov 15, 2008",19.8,19.8,19.8,19.8,0
"Nov 16, 2008",19.9,19.9,19.9,19.9,0
"Nov 17, 2008",19.9,19.9,19.9,19.9,0
"Nov 18, 2008",19.9,19.9,19.9,19.9,0
"Nov 19, 2008",19.9,19.9,19.9,19.9,0
"Nov 26, 2008",18.5,18.5,18.5,18.5,0
"Nov 27, 2008",18.5,18.5,18.5,18.5,0
"Nov 28, 2008",18.5,18.5,18.5,18.5,0
"Nov 29, 2008",18.5,18.5,18.5,18.5,0
"Nov 30, 2008",18.5,18.5,18.5,18.5,0
"Dec 1, 2008",18.5,18.5,18.5,18.5,0
"Dec 2, 2008",18.5,18.5,18.5,18.5,0
"Dec 3, 2008",18.5,18.5,18.5,18.5,0
"Dec 4, 2008",23.8,18,23.8,23.8,19
"Dec 5, 2008",23.8,23.8,23.8,23.8,0
"Dec 6, 2008",20,19.9,24,24,30
"Dec 7, 2008",16.1,16.1,25.9,25.9,4
"Dec 8, 2008",25.9,25.9,25.9,25.9,0
"Dec 9, 2008",25.9,25.9,25.9,25.9,0
"Dec 10, 2008",25.9,25.9,25.9,25.9,0
"Dec 11, 2008",25.9,25.9,25.9,25.9,0
"Dec 12, 2008",23.9,23.9,23.9,23.9,1
"Dec 13, 2008",23.9,23.9,23.9,23.9,0
"Dec 14, 2008",23.9,23.9,23.9,23.9,0
"Dec 15, 2008",23.9,23.9,23.9,23.9,0
"Dec 16, 2008",23.9,23.9,23.9,23.9,0
"Dec 17, 2008",23.9,23.9,23.9,23.9,0
"Dec 18, 2008",23.9,23.9,23.9,23.9,0
"Dec 19, 2008",23.9,23.9,23.9,23.9,0
"Dec 20, 2008",23.9,23.9,23.9,23.9,0
"Dec 21, 2008",23.9,23.9,23.9,23.9,0
"Dec 22, 2008",23.9,23.9,23.9,23.9,0
"Dec 23, 2008",23.9,23.9,23.9,23.9,0
"Dec 24, 2008",18.5,18.5,18.5,18.5,1
"Dec 25, 2008",18.5,18.5,18.5,18.5,0
"Dec 26, 2008",18.5,18.5,18.5,18.5,0
"Dec 27, 2008",18.5,18.5,18.5,18.5,0
"Dec 28, 2008",18.5,18.5,18.5,18.5,0
"Dec 29, 2008",18.5,18.5,18.5,18.5,0
"Dec 30, 2008",18.5,18.5,18.5,18.5,0
"Dec 31, 2008",18.5,18.5,18.5,18.5,0
"Jan 1, 2009",18.5,18.5,18.5,18.5,0
"Jan 2, 2009",18.5,18.5,18.5,18.5,0
"Jan 3, 2009",18,18,18.1,18.1,2
"Jan 4, 2009",18.1,18.1,18.1,18.1,0
"Jan 5, 2009",18.1,18.1,18.1,18.1,0
"Jan 6, 2009",18,18,18,18,2
"Jan 7, 2009",18,18,18,18,0
"Jan 8, 2009",17.2,17.2,17.2,17.2,3
"Jan 9, 2009",17.2,17.2,17.2,17.2,0
"Jan 10, 2009",22.8,22.8,22.8,22.8,1
"Jan 11, 2009",22.8,22.8,22.8,22.8,0
"Jan 12, 2009",22.8,22.8,22.8,22.8,0
"Jan 13, 2009",22.8,22.8,22.8,22.8,0
"Jan 14, 2009",22.8,22.8,22.8,22.8,0
"Jan 15, 2009",22.7,22.7,22.7,22.7,1
"Jan 16, 2009",22.7,22.7,22.7,22.7,0
"Jan 17, 2009",22.7,22.7,22.7,22.7,0
"Jan 18, 2009",22.7,22.7,22.7,22.7,0
"Jan 19, 2009",22.7,22.7,22.7,22.7,0
"Jan 20, 2009",22.7,22.7,22.7,22.7,0
"Jan 21, 2009",22.7,22.7,22.7,22.7,0
"Jan 22, 2009",22.7,22.7,22.7,22.7,0
"Jan 23, 2009",22.7,22.7,22.7,22.7,0
"Jan 24, 2009",22.9,22.9,22.9,22.9,2
"Jan 25, 2009",22.9,22.9,22.9,22.9,0
"Jan 26, 2009",22.9,22.9,22.9,22.9,0
"Jan 27, 2009",22.9,22.9,22.9,22.9,0
"Jan 28, 2009",22.9,22.9,22.9,22.9,0
"Jan 29, 2009",22.9,22.9,22.9,22.9,0
"Jan 30, 2009",22.9,22.9,22.9,22.9,0
"Jan 31, 2009",22.9,22.9,22.9,22.9,0
"Feb 1, 2009",22.9,22.9,22.9,22.9,0
"Feb 2, 2009",22.9,22.9,22.9,22.9,0
"Feb 3, 2009",22.9,22.9,22.9,22.9,0
"Feb 4, 2009",22.9,22.9,22.9,22.9,0
"Feb 5, 2009",22.9,22.9,22.9,22.9,0
"Feb 6, 2009",22.9,22.9,22.9,22.9,0
"Feb 7, 2009",22.9,22.9,22.9,22.9,0
"Feb 8, 2009",22.9,22.9,22.9,22.9,0
"Feb 9, 2009",22.9,22.9,22.9,22.9,0
"Feb 10, 2009",22.9,22.9,22.9,22.9,0
"Feb 11, 2009",22.9,22.9,22.9,22.9,0
"Feb 12, 2009",22.9,22.9,22.9,22.9,0
"Feb 13, 2009",22.9,22.9,22.9,22.9,0
"Feb 14, 2009",22.5,22.5,24.8,24.8,30
"Feb 15, 2009",24.8,24.8,24.8,24.8,0
"Feb 16, 2009",24.8,24.8,24.8,24.8,0
"Feb 17, 2009",24.8,24.8,24.8,24.8,0
"Feb 18, 2009",24.8,24.8,24.8,24.8,0
"Feb 19, 2009",24.8,24.8,24.8,24.8,0
"Feb 20, 2009",24.9,24.8,40,35,254
"Feb 21, 2009",30,30,30,30,36
"Feb 22, 2009",30,30,30,30,0
"Feb 23, 2009",30,30,30,30,0
"Feb 24, 2009",27.1,27.1,27.1,27.1,3
"Feb 25, 2009",27.1,27.1,27.1,27.1,0
"Feb 26, 2009",25,25,25,25,20
"Feb 27, 2009",30,30,30,30,9
"Feb 28, 2009",22.5,22.5,22.5,22.5,2
"Mar 1, 2009",22.5,22.5,22.5,22.5,0
"Mar 2, 2009",22.5,22.5,22.5,22.5,2
"Mar 3, 2009",22.5,22.5,22.5,22.5,0
"Mar 4, 2009",23.2,23.2,23.2,23.2,1
"Mar 5, 2009",23.2,23.2,23.2,23.2,0
"Mar 6, 2009",23.2,23.2,23.2,23.2,0
"Mar 7, 2009",23.2,23.2,23.2,23.2,0
"Mar 8, 2009",30.5,29.8,30.5,30.5,8
"Mar 9, 2009",30.5,30.5,30.5,30.5,0
"Mar 10, 2009",30.5,30.5,30.5,30.5,0
"Mar 11, 2009",25,24,25,24,3
"Mar 12, 2009",24,24,24,24,0
"Mar 13, 2009",24,24,24,24,0
"Mar 14, 2009",24,24,24,24,0
"Mar 15, 2009",24,24,24,24,0
"Mar 16, 2009",24,24,24,24,0
"Mar 17, 2009",24,24,24,24,0
"Mar 18, 2009",24,24,24,24,0
"Mar 19, 2009",24.5,24.5,24.5,24.5,1
"Mar 20, 2009",24.5,24.5,24.5,24.5,9
"Mar 21, 2009",24.5,24.5,24.5,24.5,0
"Mar 22, 2009",24.5,24.5,24.5,24.5,0
"Mar 23, 2009",24.5,24.5,24.5,24.5,0
"Mar 24, 2009",24.5,24.5,24.5,24.5,0
"Mar 25, 2009",24.5,24.5,24.5,24.5,0
"Mar 26, 2009",28.9,28.9,28.9,28.9,1
"Mar 27, 2009",28.9,28.9,28.9,28.9,0
"Mar 28, 2009",28.9,28.9,28.9,28.9,0
"Mar 29, 2009",24.1,24.1,24.1,24.1,1
"Mar 30, 2009",24.1,24.1,24.1,24.1,0
"Mar 31, 2009",24.1,24.1,24.1,24.1,0
"Apr 1, 2009",24.1,24.1,24.1,24.1,0
"Apr 2, 2009",24.1,24.1,24.1,24.1,0
"Apr 3, 2009",24.1,24.1,24.1,24.1,0
"Apr 4, 2009",24.1,24.1,24.1,24.1,0
"Apr 5, 2009",24.1,24.1,24.1,24.1,0
"Apr 6, 2009",24.1,24.1,24.1,24.1,0
"Apr 7, 2009",24.1,24.1,24.1,24.1,0
"Apr 8, 2009",24.1,24.1,24.1,24.1,0
"Apr 9, 2009",24.1,24.1,24.1,24.1,0
"Apr 10, 2009",24.1,24.1,24.1,24.1,0
"Apr 11, 2009",24.1,24.1,24.1,24.1,0
"Apr 12, 2009",24.1,24.1,24.1,24.1,0
"Apr 13, 2009",24.1,24.1,24.1,24.1,0
"Apr 14, 2009",24.1,24.1,24.1,24.1,0
"Apr 15, 2009",24.1,24.1,24.1,24.1,0
"Apr 16, 2009",24.1,24.1,24.1,24.1,0
"Apr 17, 2009",24.1,24.1,24.1,24.1,0
"Apr 18, 2009",24.1,24.1,24.1,24.1,0
"Apr 19, 2009",24.1,24.1,24.1,24.1,0
"Apr 20, 2009",24.1,24.1,24.1,24.1,0
"Apr 21, 2009",24.1,24.1,24.1,24.1,0
"Apr 22, 2009",24.1,24.1,24.1,24.1,0
"Apr 23, 2009",24.1,24.1,24.1,24.1,0
"Apr 24, 2009",24.1,24.1,24.1,24.1,0
"Apr 25, 2009",24.1,24.1,24.1,24.1,0
"Apr 26, 2009",24.1,24.1,24.1,24.1,0
"Apr 27, 2009",24.1,24.1,24.1,24.1,0
"Apr 28, 2009",24.1,24.1,24.1,24.1,0
"Apr 29, 2009",24.1,24.1,24.1,24.1,0
"Apr 30, 2009",24.1,24.1,24.1,24.1,0
"May 1, 2009",24.1,24.1,24.1,24.1,0
"May 2, 2009",24.1,24.1,24.1,24.1,0
"May 3, 2009",24.1,24.1,24.1,24.1,0
"May 4, 2009",24.1,24.1,24.1,24.1,0
"May 5, 2009",25,25,25,25,10
"May 6, 2009",30,29.8,30,30,14
"May 7, 2009",30,30,30,30,0
"May 8, 2009",30,30,30,30,0
"May 9, 2009",30,30,30,30,0
"May 10, 2009",30,30,30,30,0
"May 11, 2009",30,30,30,30,0
"May 12, 2009",30,30,30,30,0
"May 13, 2009",30,30,30,30,0
"May 14, 2009",30,30,30,30,0
"May 15, 2009",30,30,30,30,0
